secs,&nbsp;4 12:28+1&gt;1,&nbsp;4 12:34+2&gt;2,&nbsp;4 14:24+6&gt;2,&nbsp;4 17:43+0&gt;2,&nbsp;9c+ 18:19+0&gt;13,&nbsp;9c+ 18:20+0&gt;24,&nbsp;9a 18:23+26&gt;26
160.5,0.55,1.12,1.41,NaN,NaN,NaN,0.42
161,0.48,1.13,1.42,NaN,NaN,NaN,0.44
161.5,0.40,1.18,1.42,NaN,NaN,NaN,0.46
162,0.38,1.22,1.41,NaN,NaN,NaN,0.47
162.5,0.30,1.24,1.41,NaN,NaN,NaN,0.47
163,0.26,1.27,1.43,NaN,NaN,NaN,0.46
163.5,0.19,1.29,1.41,NaN,NaN,NaN,0.45
164,0.14,1.35,1.41,NaN,NaN,NaN,0.44
164.5,0.13,1.41,1.43,NaN,NaN,NaN,0.44
165,0.11,1.44,1.44,NaN,NaN,NaN,0.43
165.5,0.09,1.46,1.45,NaN,NaN,NaN,0.40
166,0.08,1.53,1.45,NaN,NaN,NaN,0.40
166.5,0.11,1.56,1.46,NaN,NaN,NaN,0.41
167,0.11,1.59,1.51,NaN,NaN,NaN,0.40
167.5,0.17,1.61,1.52,NaN,NaN,NaN,0.41
168,0.21,1.60,1.54,NaN,NaN,NaN,0.43
168.5,0.25,1.60,1.56,NaN,NaN,NaN,0.46
169,0.31,1.61,1.58,NaN,NaN,NaN,0.47
169.5,0.34,1.62,1.60,NaN,NaN,NaN,0.47
170,0.39,1.61,1.61,NaN,NaN,NaN,0.50
170.5,0.42,1.61,1.63,NaN,NaN,NaN,0.53
171,0.46,1.60,1.66,NaN,NaN,NaN,0.54
171.5,0.47,1.58,1.66,NaN,NaN,NaN,0.55
172,0.47,1.56,1.65,NaN,NaN,NaN,0.58
172.5,0.50,1.53,1.64,NaN,NaN,NaN,0.59
173,0.49,1.52,1.63,NaN,NaN,NaN,0.61
173.5,0.50,1.49,1.66,NaN,NaN,NaN,0.62
174,0.51,1.48,1.64,NaN,NaN,NaN,0.61
174.5,0.52,1.45,1.60,NaN,NaN,NaN,0.61
175,0.54,1.43,1.61,NaN,NaN,NaN,0.60
175.5,0.57,1.42,1.59,NaN,NaN,NaN,0.60
176,0.58,1.41,1.57,NaN,NaN,NaN,0.61
176.5,0.59,1.39,1.54,NaN,NaN,NaN,0.61
177,0.61,1.38,1.52,NaN,NaN,NaN,0.62
177.5,0.59,1.37,1.51,NaN,NaN,NaN,0.62
178,0.56,1.37,1.48,NaN,NaN,NaN,0.63
178.5,0.56,1.36,1.47,NaN,NaN,NaN,0.63
179,0.58,1.36,1.45,NaN,NaN,NaN,0.64
179.5,0.58,1.36,1.45,NaN,NaN,NaN,0.65
180,0.59,1.33,1.44,NaN,NaN,NaN,0.66
180.5,0.61,1.31,1.44,NaN,NaN,NaN,0.67
181,0.61,1.31,1.45,NaN,NaN,NaN,0.67
181.5,0.63,1.32,1.44,NaN,NaN,NaN,0.68
182,0.64,1.33,1.43,NaN,NaN,NaN,0.67
182.5,0.61,1.35,1.43,NaN,NaN,NaN,0.64
183,0.60,1.36,1.44,NaN,NaN,NaN,0.63
183.5,0.57,1.39,1.46,NaN,NaN,NaN,0.61
184,0.56,1.41,1.46,NaN,NaN,NaN,0.59
184.5,0.56,1.44,1.45,NaN,NaN,NaN,0.58
185,0.54,1.45,1.44,NaN,NaN,NaN,0.54
185.5,0.51,1.47,1.41,NaN,NaN,NaN,0.50
186,0.47,1.49,1.41,NaN,NaN,NaN,0.49
186.5,0.46,1.49,1.42,NaN,NaN,NaN,0.46
187,0.43,1.49,1.42,NaN,NaN,NaN,0.44
187.5,0.38,1.49,1.43,NaN,NaN,NaN,0.41
188,0.36,1.49,1.45,NaN,NaN,NaN,0.38
188.5,0.32,1.46,1.47,NaN,NaN,NaN,0.38
189,0.31,1.44,1.48,NaN,NaN,NaN,0.38
189.5,0.31,1.39,1.48,NaN,NaN,NaN,0.35
190,0.29,1.38,1.48,NaN,NaN,NaN,0.33
190.5,0.28,1.34,1.49,NaN,NaN,NaN,0.34
191,0.31,1.31,1.47,NaN,NaN,NaN,0.35
191.5,0.34,1.24,1.46,NaN,NaN,NaN,0.34
192,0.36,1.20,1.46,NaN,NaN,NaN,0.35
192.5,0.41,1.18,1.44,NaN,NaN,NaN,0.37
193,0.45,1.17,1.46,NaN,NaN,NaN,0.38
193.5,0.46,1.17,1.45,NaN,NaN,NaN,0.39
194,0.46,1.20,1.45,NaN,NaN,NaN,0.42
194.5,0.45,1.20,1.45,NaN,NaN,NaN,0.45
195,0.45,1.20,1.46,NaN,NaN,NaN,0.46
195.5,0.43,1.22,1.45,NaN,NaN,NaN,0.47
196,0.43,1.24,1.42,NaN,NaN,NaN,0.48
196.5,NaN,1.23,1.43,NaN,NaN,NaN,0.47
197,NaN,1.20,1.42,NaN,NaN,NaN,0.48
197.5,NaN,1.18,1.40,NaN,NaN,NaN,0.50
198,NaN,1.11,1.40,NaN,NaN,NaN,0.51
198.5,NaN,1.00,1.39,NaN,NaN,NaN,0.51
199,NaN,0.93,1.40,NaN,NaN,NaN,0.54
199.5,NaN,0.85,1.38,NaN,NaN,NaN,0.57
200,NaN,0.81,1.36,NaN,NaN,NaN,0.58
200.5,NaN,0.74,1.35,NaN,NaN,NaN,0.59
201,NaN,0.69,1.34,NaN,NaN,NaN,0.60
201.5,NaN,0.67,1.32,NaN,NaN,NaN,0.62
202,NaN,0.68,1.33,NaN,NaN,NaN,0.63
202.5,NaN,0.69,1.32,NaN,NaN,NaN,0.65
203,NaN,0.68,1.31,NaN,NaN,NaN,0.67
203.5,NaN,0.70,1.27,NaN,NaN,NaN,0.66
204,NaN,0.72,1.24,NaN,NaN,NaN,0.65
204.5,NaN,0.74,1.23,NaN,NaN,NaN,0.64
205,NaN,0.77,1.23,NaN,NaN,NaN,0.62
205.5,NaN,0.81,1.22,NaN,NaN,NaN,0.60
206,NaN,0.85,1.22,NaN,NaN,NaN,0.58
206.5,NaN,0.89,1.21,NaN,NaN,NaN,0.56
207,NaN,0.91,1.20,NaN,NaN,NaN,0.56
207.5,NaN,0.92,1.21,NaN,NaN,NaN,0.55
208,NaN,0.92,1.23,NaN,NaN,NaN,0.53
208.5,NaN,0.89,1.27,NaN,NaN,NaN,0.50
209,NaN,0.87,1.30,NaN,NaN,NaN,0.48
209.5,NaN,0.83,1.32,NaN,NaN,NaN,0.48
210,NaN,0.81,1.36,NaN,NaN,NaN,0.50
210.5,NaN,0.74,1.42,NaN,NaN,NaN,0.51
211,NaN,0.66,1.46,NaN,NaN,NaN,0.52
211.5,NaN,0.58,1.52,NaN,NaN,NaN,0.55
212,NaN,0.50,1.53,NaN,NaN,NaN,0.56
212.5,NaN,0.46,1.56,NaN,NaN,NaN,0.58
213,NaN,0.39,1.62,NaN,NaN,NaN,0.61
213.5,NaN,0.31,1.66,NaN,NaN,NaN,0.63
214,NaN,0.22,1.69,NaN,NaN,NaN,0.66
214.5,NaN,0.14,1.69,NaN,NaN,NaN,0.70
215,NaN,0.11,1.72,NaN,NaN,NaN,0.74
215.5,NaN,0.07,1.77,NaN,NaN,NaN,0.78
216,NaN,0.04,1.77,NaN,NaN,NaN,0.80
216.5,NaN,0.00,1.77,NaN,NaN,NaN,0.84
