secs,&nbsp;4 17:21+1&gt;9,&nbsp;5b 17:23+1&gt;10,&nbsp;6a 17:26+1&gt;9,&nbsp;6a 17:32+2&gt;11,&nbsp;6a 17:38+2&gt;9,&nbsp;5b 17:41+1&gt;11,&nbsp;5c 17:44+1&gt;9,-6a+ 17:47+0&gt;3,-6a+ 17:48+2&gt;10,&nbsp;7a 18:24+3&gt;8,&nbsp;6a+ 18:33+2&gt;8,-6b+ 18:59+2&gt;2,&nbsp;5a 19:03+1&gt;7,&nbsp;6b+ 19:08+2&gt;8,&nbsp;6c 19:31+2&gt;5,&nbsp;6a+ 19:33+0&gt;5,&nbsp;6a+ 19:56+2&gt;9,&nbsp;5b 19:59+1&gt;7,&nbsp;6a 20:12+2&gt;8,&nbsp;6b 20:18+4&gt;10
108.5,NaN,NaN,NaN,8.88,6.61,NaN,8.41,NaN,7.87,4.61,5.90,1.45,6.66,4.97,4.62,NaN,7.38,1.42,6.75,5.53
109,NaN,NaN,NaN,8.91,6.65,NaN,8.01,NaN,8.00,4.60,5.96,1.38,6.74,4.98,4.61,NaN,7.37,1.06,6.78,5.56
109.5,NaN,NaN,NaN,8.94,6.65,NaN,7.78,NaN,8.12,4.59,6.06,1.35,6.77,4.97,4.63,NaN,7.37,0.70,6.83,5.63
110,NaN,NaN,NaN,9.00,6.67,NaN,7.34,NaN,8.20,4.62,6.14,1.23,6.77,4.96,4.64,NaN,7.39,0.34,6.83,5.72
110.5,NaN,NaN,NaN,9.04,6.71,NaN,6.89,NaN,8.30,4.66,6.19,1.09,6.73,4.95,4.63,NaN,7.38,NaN,6.85,5.77
111,NaN,NaN,NaN,9.14,6.69,NaN,6.44,NaN,8.37,4.68,6.13,1.02,6.64,4.93,4.64,NaN,7.39,NaN,6.85,5.81
111.5,NaN,NaN,NaN,9.21,6.72,NaN,6.02,NaN,8.47,4.78,6.10,0.97,6.60,4.87,4.64,NaN,7.42,NaN,6.83,5.86
112,NaN,NaN,NaN,9.29,6.77,NaN,5.60,NaN,8.59,4.87,6.09,0.91,6.54,4.82,4.63,NaN,7.44,NaN,6.81,5.91
112.5,NaN,NaN,NaN,9.34,6.80,NaN,5.26,NaN,8.74,4.99,6.04,0.86,6.43,4.79,4.62,NaN,7.44,NaN,6.80,5.91
113,NaN,NaN,NaN,9.46,6.79,NaN,4.88,NaN,8.83,5.06,6.02,0.81,6.40,4.73,4.61,NaN,7.49,NaN,6.82,5.92
113.5,NaN,NaN,NaN,9.58,6.80,NaN,4.50,NaN,8.90,5.11,6.03,0.78,6.43,4.68,4.56,NaN,7.49,NaN,6.79,5.94
114,NaN,NaN,NaN,9.72,6.88,NaN,4.11,NaN,8.96,5.16,5.98,0.79,6.44,4.63,4.56,NaN,7.51,NaN,6.77,5.94
114.5,NaN,NaN,NaN,9.84,6.98,NaN,3.71,NaN,8.98,5.24,5.98,0.80,6.40,4.61,4.54,NaN,7.51,NaN,6.77,5.91
115,NaN,NaN,NaN,9.92,7.05,NaN,3.51,NaN,9.03,5.29,5.99,0.82,6.33,4.56,4.58,NaN,7.52,NaN,6.77,5.89
115.5,NaN,NaN,NaN,9.98,7.16,NaN,3.13,NaN,9.06,5.40,6.01,0.86,6.28,4.55,4.61,NaN,7.51,NaN,6.77,5.87
116,NaN,NaN,NaN,10.00,7.18,NaN,2.74,NaN,9.10,5.45,6.01,0.93,6.18,4.55,4.67,NaN,7.47,NaN,6.78,5.86
116.5,NaN,NaN,NaN,10.01,7.25,NaN,2.32,NaN,9.13,5.43,6.07,0.97,6.09,4.64,4.73,NaN,7.47,NaN,6.77,5.82
117,NaN,NaN,NaN,10.00,7.31,NaN,1.94,NaN,9.18,5.42,6.10,1.03,5.93,4.75,4.80,NaN,7.48,NaN,6.78,5.82
117.5,NaN,NaN,NaN,10.00,7.33,NaN,1.53,NaN,9.27,5.38,6.03,1.09,5.85,4.81,4.83,NaN,7.48,NaN,6.75,5.81
118,NaN,NaN,NaN,10.00,7.32,NaN,1.12,NaN,9.27,5.33,6.00,1.11,5.69,4.89,4.85,NaN,7.50,NaN,6.79,5.85
118.5,NaN,NaN,NaN,10.00,7.31,NaN,0.70,NaN,9.35,5.29,5.97,1.14,5.46,4.96,4.87,NaN,7.47,NaN,6.83,5.83
119,NaN,NaN,NaN,10.01,7.35,NaN,0.29,NaN,9.47,5.25,5.93,1.13,5.36,5.02,4.91,NaN,7.48,NaN,6.89,5.80
119.5,NaN,NaN,NaN,10.04,7.39,NaN,NaN,NaN,9.56,5.22,5.87,1.11,5.20,5.05,4.97,NaN,7.52,NaN,6.94,5.61
120,NaN,NaN,NaN,10.07,7.54,NaN,NaN,NaN,9.58,5.18,5.83,1.14,5.03,5.12,5.02,NaN,7.49,NaN,6.95,5.43
120.5,NaN,NaN,NaN,10.11,7.65,NaN,NaN,NaN,9.58,5.16,5.78,1.15,4.83,5.18,5.08,NaN,7.50,NaN,6.95,5.33
121,NaN,NaN,NaN,10.22,7.76,NaN,NaN,NaN,9.47,5.09,5.78,1.16,4.60,5.25,5.08,NaN,7.49,NaN,6.97,5.30
121.5,NaN,NaN,NaN,10.25,7.79,NaN,0.00,NaN,9.28,5.08,5.78,1.20,4.37,5.29,5.07,NaN,7.53,NaN,6.96,5.23
122,NaN,NaN,NaN,10.37,7.87,NaN,0.03,NaN,9.03,5.09,5.78,1.24,4.08,5.38,5.05,NaN,7.59,NaN,6.98,5.14
122.5,NaN,NaN,NaN,10.46,7.90,NaN,0.03,NaN,8.76,5.10,5.77,1.30,3.79,5.42,5.01,NaN,7.62,NaN,7.05,5.07
123,NaN,NaN,NaN,10.52,7.94,NaN,0.07,NaN,8.47,5.19,5.77,1.34,3.64,5.44,5.00,NaN,7.69,NaN,7.14,4.99
123.5,NaN,NaN,NaN,10.59,8.03,NaN,0.03,NaN,8.20,5.29,5.77,1.36,3.34,5.50,4.98,NaN,7.78,NaN,7.19,4.94
124,NaN,NaN,NaN,10.73,8.08,NaN,0.07,NaN,7.92,5.33,5.75,1.36,2.97,5.57,4.93,NaN,7.83,NaN,7.22,4.92
124.5,NaN,NaN,NaN,10.87,8.09,NaN,0.06,NaN,7.64,5.38,5.79,1.42,2.68,5.61,4.91,NaN,7.87,NaN,7.23,4.94
125,NaN,NaN,NaN,10.97,8.11,NaN,0.04,NaN,7.33,5.45,5.84,1.48,2.48,5.71,4.94,NaN,7.88,NaN,7.24,4.93
125.5,NaN,NaN,NaN,11.07,8.20,NaN,0.06,NaN,7.21,5.51,5.88,1.48,2.25,5.79,4.96,NaN,7.92,NaN,7.33,4.90
126,NaN,NaN,NaN,11.06,8.34,NaN,0.03,NaN,6.91,5.48,5.91,1.52,2.00,5.86,5.03,NaN,7.96,NaN,7.39,4.90
126.5,NaN,NaN,NaN,11.00,8.44,NaN,0.03,NaN,6.59,5.51,5.94,1.52,1.74,5.96,5.11,NaN,7.96,NaN,7.51,4.90
127,NaN,NaN,NaN,10.93,8.54,NaN,0.03,NaN,6.28,5.51,5.91,1.55,1.49,6.01,5.17,NaN,7.96,NaN,7.60,4.94
127.5,NaN,NaN,NaN,10.71,8.56,NaN,NaN,NaN,5.96,5.53,5.89,1.61,1.18,6.13,5.22,NaN,7.97,NaN,7.66,4.98
128,NaN,NaN,NaN,10.49,8.57,NaN,NaN,NaN,5.65,5.53,5.91,1.62,0.85,6.16,5.22,NaN,8.10,NaN,7.69,5.02
128.5,NaN,NaN,NaN,10.27,8.55,NaN,NaN,NaN,5.33,5.53,5.92,1.66,0.45,6.19,5.24,NaN,8.21,NaN,7.70,5.02
129,NaN,NaN,NaN,10.03,8.37,NaN,NaN,NaN,5.02,5.53,5.90,1.66,0.27,6.24,5.29,NaN,8.27,NaN,7.66,5.01
129.5,NaN,NaN,NaN,9.83,8.17,NaN,NaN,NaN,4.68,5.48,5.89,1.64,NaN,6.29,5.34,NaN,8.31,NaN,7.68,5.00
130,NaN,NaN,NaN,9.60,7.85,NaN,NaN,NaN,4.35,5.45,5.88,1.64,NaN,6.34,5.29,NaN,8.34,NaN,7.72,5.02
130.5,NaN,NaN,NaN,9.34,7.54,NaN,NaN,NaN,4.04,5.45,5.85,1.63,NaN,6.40,5.29,NaN,8.34,NaN,7.76,5.00
131,NaN,NaN,NaN,9.12,7.25,NaN,NaN,NaN,3.77,5.44,5.84,1.65,NaN,6.45,5.24,NaN,8.36,NaN,7.81,5.00
131.5,NaN,NaN,NaN,8.92,6.93,NaN,NaN,NaN,3.61,5.46,5.87,1.72,NaN,6.52,5.21,NaN,8.36,NaN,7.84,5.00
132,NaN,NaN,NaN,8.66,6.70,NaN,NaN,NaN,3.27,5.48,5.85,1.73,NaN,6.58,5.14,NaN,8.38,NaN,7.85,5.01
132.5,NaN,NaN,NaN,8.54,6.46,NaN,NaN,NaN,2.94,5.40,5.84,1.74,NaN,6.62,5.03,NaN,8.39,NaN,7.84,5.05
133,NaN,NaN,NaN,8.29,6.32,NaN,NaN,NaN,2.59,5.34,5.84,1.73,NaN,6.62,4.93,NaN,8.40,NaN,7.83,5.04
133.5,NaN,NaN,NaN,8.01,6.09,NaN,NaN,NaN,2.21,5.31,5.84,1.70,NaN,6.64,4.86,NaN,8.45,NaN,7.77,5.01
134,NaN,NaN,NaN,7.72,5.82,NaN,NaN,NaN,1.86,5.32,5.84,1.61,NaN,6.61,4.76,NaN,8.49,NaN,7.77,4.97
134.5,NaN,NaN,NaN,7.44,5.58,NaN,NaN,NaN,1.52,5.30,5.84,1.50,NaN,6.58,4.65,NaN,8.63,NaN,7.72,4.95
135,NaN,NaN,NaN,7.15,5.31,NaN,NaN,NaN,1.16,5.30,5.84,1.44,NaN,6.55,4.49,NaN,8.68,NaN,7.67,4.91
135.5,NaN,NaN,NaN,6.91,5.02,NaN,NaN,NaN,0.83,5.30,5.84,1.33,NaN,6.54,4.31,NaN,8.68,NaN,7.58,4.91
136,NaN,NaN,NaN,6.63,4.73,NaN,NaN,NaN,0.52,5.32,5.84,1.25,NaN,6.50,4.15,NaN,8.68,NaN,7.48,4.95
136.5,NaN,NaN,NaN,6.37,4.41,NaN,NaN,NaN,0.24,5.37,5.82,1.22,NaN,6.49,3.95,NaN,8.63,NaN,7.46,4.94
137,NaN,NaN,NaN,6.15,4.17,NaN,NaN,NaN,NaN,5.48,5.82,1.25,NaN,6.50,3.85,NaN,8.59,NaN,7.41,4.91
137.5,NaN,NaN,NaN,5.86,3.95,NaN,NaN,NaN,NaN,5.54,5.76,1.28,NaN,6.53,3.71,NaN,8.59,NaN,7.39,4.85
138,NaN,NaN,NaN,5.58,3.72,NaN,NaN,NaN,NaN,5.59,5.75,1.30,NaN,6.55,3.57,NaN,8.55,NaN,7.35,4.85
138.5,NaN,NaN,NaN,5.45,3.62,NaN,NaN,NaN,-0.00,5.63,5.75,1.34,NaN,6.54,3.37,NaN,8.52,NaN,7.25,4.86
139,NaN,NaN,NaN,5.17,3.37,NaN,NaN,NaN,NaN,5.65,5.78,1.41,NaN,6.58,3.17,NaN,8.48,NaN,7.15,4.85
139.5,NaN,NaN,NaN,4.89,3.14,NaN,NaN,NaN,NaN,5.65,5.76,1.46,NaN,6.58,2.87,NaN,8.41,NaN,7.08,4.83
140,NaN,NaN,NaN,4.65,2.91,NaN,NaN,NaN,NaN,5.56,5.75,1.55,NaN,6.62,2.56,NaN,8.34,NaN,6.96,4.87
140.5,NaN,NaN,NaN,4.37,2.67,NaN,NaN,NaN,NaN,5.44,5.76,1.59,NaN,6.61,2.28,NaN,8.22,NaN,6.81,4.89
141,NaN,NaN,NaN,4.07,2.44,NaN,NaN,NaN,NaN,5.35,5.79,1.59,NaN,6.58,2.00,NaN,8.09,NaN,6.61,4.87
141.5,NaN,NaN,NaN,3.78,2.21,NaN,NaN,NaN,NaN,5.31,5.78,1.54,NaN,6.56,1.71,NaN,7.88,NaN,6.40,4.87
142,NaN,NaN,NaN,3.53,1.98,NaN,NaN,NaN,NaN,5.25,5.76,1.48,NaN,6.50,1.42,NaN,7.59,NaN,6.20,4.89
142.5,NaN,NaN,NaN,3.31,1.77,NaN,NaN,NaN,NaN,5.21,5.79,1.46,NaN,6.42,1.05,NaN,7.31,NaN,5.97,4.91
143,NaN,NaN,NaN,3.02,1.49,NaN,NaN,NaN,NaN,5.12,5.81,1.39,NaN,6.35,0.82,NaN,7.17,NaN,5.85,4.96
143.5,NaN,NaN,NaN,2.76,1.23,NaN,NaN,NaN,-0.00,5.09,5.84,1.45,NaN,6.32,0.37,NaN,6.93,NaN,5.58,4.99
144,NaN,NaN,NaN,2.61,0.98,NaN,NaN,NaN,NaN,5.08,5.91,1.48,NaN,6.26,NaN,NaN,6.71,NaN,5.31,4.98
144.5,NaN,NaN,NaN,2.30,0.85,NaN,NaN,NaN,NaN,5.08,5.99,1.51,NaN,6.24,NaN,NaN,6.52,NaN,5.00,4.96
145,NaN,NaN,NaN,2.00,0.57,NaN,NaN,NaN,NaN,5.08,6.04,1.44,NaN,6.23,NaN,NaN,6.29,NaN,4.74,4.95
145.5,NaN,NaN,NaN,1.71,0.35,NaN,NaN,NaN,0.00,5.07,6.11,1.39,NaN,6.18,NaN,NaN,6.11,NaN,4.47,4.96
146,NaN,NaN,NaN,1.45,0.26,NaN,NaN,NaN,-0.00,5.08,6.14,1.38,NaN,6.18,NaN,NaN,5.91,NaN,4.25,4.97
146.5,NaN,NaN,NaN,1.18,0.29,NaN,NaN,NaN,0.02,5.08,6.16,1.38,NaN,6.19,NaN,NaN,5.72,NaN,4.03,5.02
147,NaN,NaN,NaN,0.91,0.29,NaN,NaN,NaN,0.03,5.09,6.17,1.41,NaN,6.20,NaN,NaN,5.49,NaN,3.78,5.09
147.5,NaN,NaN,NaN,0.61,0.35,NaN,NaN,NaN,0.07,5.17,6.19,1.44,NaN,6.22,NaN,NaN,5.23,NaN,3.58,5.13
148,NaN,NaN,NaN,0.43,0.37,NaN,NaN,NaN,0.09,5.19,6.23,1.46,NaN,6.32,NaN,NaN,4.96,NaN,3.38,5.18
148.5,NaN,NaN,NaN,0.36,0.38,NaN,NaN,NaN,0.11,5.22,6.30,1.48,NaN,6.42,NaN,NaN,4.69,NaN,3.14,5.19
149,NaN,NaN,NaN,0.31,0.38,NaN,NaN,NaN,0.12,5.26,6.45,1.50,NaN,6.47,NaN,NaN,4.55,NaN,3.05,5.16
149.5,NaN,NaN,NaN,0.20,0.37,NaN,NaN,NaN,0.16,5.28,6.53,1.54,NaN,6.53,NaN,NaN,4.37,NaN,2.86,5.17
150,NaN,NaN,NaN,0.16,0.37,NaN,NaN,NaN,NaN,5.26,6.65,1.56,NaN,6.57,NaN,NaN,4.17,NaN,2.64,5.19
150.5,NaN,NaN,NaN,0.07,0.37,NaN,NaN,NaN,NaN,5.27,6.77,1.58,NaN,6.65,NaN,NaN,3.96,NaN,2.35,5.19
151,NaN,NaN,NaN,NaN,0.41,NaN,NaN,NaN,NaN,5.31,6.81,1.60,NaN,6.74,NaN,NaN,3.79,NaN,2.07,5.20
151.5,NaN,NaN,NaN,NaN,0.42,NaN,NaN,NaN,NaN,5.32,6.86,1.57,NaN,6.85,NaN,NaN,3.59,NaN,1.75,5.32
152,NaN,NaN,NaN,NaN,0.45,NaN,NaN,NaN,NaN,5.33,6.89,1.55,NaN,6.91,NaN,NaN,3.44,NaN,1.50,5.49
152.5,NaN,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN,5.33,6.97,1.54,NaN,6.94,NaN,NaN,3.24,NaN,1.23,5.64
153,NaN,NaN,NaN,NaN,0.55,NaN,NaN,NaN,NaN,5.30,7.01,1.54,NaN,7.00,NaN,NaN,3.04,NaN,0.96,5.71
153.5,NaN,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN,5.30,7.10,1.54,NaN,7.07,NaN,NaN,2.85,NaN,0.68,5.79
154,NaN,NaN,NaN,0.00,0.52,NaN,NaN,NaN,NaN,5.31,7.26,1.49,NaN,7.10,NaN,NaN,2.67,NaN,0.54,5.78
154.5,NaN,NaN,NaN,0.07,0.51,NaN,NaN,NaN,NaN,5.32,7.38,1.50,NaN,7.14,NaN,NaN,2.56,NaN,0.47,5.81
155,NaN,NaN,NaN,0.08,0.50,NaN,NaN,NaN,NaN,5.36,7.50,1.51,NaN,7.18,NaN,NaN,2.31,NaN,0.45,5.80
155.5,NaN,NaN,NaN,0.16,0.51,NaN,NaN,NaN,NaN,5.35,7.59,1.51,NaN,7.22,NaN,NaN,2.09,NaN,0.43,5.80
156,NaN,NaN,NaN,0.19,0.50,NaN,NaN,NaN,NaN,5.31,7.64,1.48,NaN,7.23,NaN,NaN,1.86,NaN,0.41,5.86
156.5,NaN,NaN,NaN,0.19,0.47,NaN,NaN,NaN,NaN,5.31,7.73,1.44,NaN,7.25,NaN,NaN,1.65,NaN,0.43,5.96
157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.31,7.74,1.44,NaN,7.31,NaN,NaN,1.45,NaN,0.45,6.07
157.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.29,7.71,1.43,NaN,7.43,NaN,NaN,1.23,NaN,0.44,6.10
158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.27,7.72,1.40,NaN,7.56,NaN,NaN,0.99,NaN,0.45,6.13
158.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.26,7.65,1.37,NaN,7.67,NaN,NaN,0.72,NaN,0.47,6.16
159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.20,7.51,1.33,NaN,7.75,NaN,NaN,0.66,NaN,0.47,6.19
159.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.18,7.26,1.27,NaN,7.76,NaN,NaN,0.69,NaN,0.48,6.29
160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,6.98,1.14,NaN,7.80,NaN,NaN,0.75,NaN,0.50,6.32
160.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.09,6.75,1.02,NaN,7.84,NaN,NaN,0.76,NaN,0.50,6.37
161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,6.57,0.93,NaN,7.90,NaN,NaN,0.80,NaN,0.51,6.37
161.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.15,6.39,0.89,NaN,7.93,NaN,NaN,0.87,NaN,0.55,6.42
162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.24,6.28,0.85,NaN,8.02,NaN,NaN,0.92,NaN,0.56,6.51
162.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.24,6.20,0.82,NaN,8.16,NaN,NaN,0.92,NaN,0.59,6.62
163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.29,6.07,0.81,NaN,8.26,NaN,NaN,0.93,NaN,0.59,6.71
163.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.31,5.98,0.81,NaN,8.34,NaN,NaN,1.01,NaN,0.61,6.73
164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.32,5.80,0.85,NaN,8.40,NaN,NaN,1.00,NaN,0.59,6.77
164.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.36,5.62,0.89,NaN,8.43,NaN,NaN,1.03,NaN,0.58,6.84
165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.36,5.40,0.90,NaN,8.39,NaN,NaN,1.05,NaN,0.57,6.89
165.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.35,5.21,0.94,NaN,8.40,NaN,NaN,1.02,NaN,0.55,6.95
166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.34,4.92,0.95,NaN,8.40,NaN,NaN,1.02,NaN,0.53,7.02
166.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.31,4.66,0.98,NaN,8.39,NaN,NaN,1.00,NaN,0.53,7.06
167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.35,4.40,0.98,NaN,8.37,NaN,NaN,1.01,NaN,0.52,7.12
167.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.42,4.16,1.06,NaN,8.34,NaN,NaN,0.96,NaN,0.45,7.20
168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.47,3.97,1.09,NaN,8.32,NaN,NaN,0.93,NaN,0.37,7.25
168.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.49,3.74,1.09,NaN,8.24,NaN,NaN,0.91,NaN,0.29,7.23
169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.52,3.62,1.12,NaN,8.20,NaN,NaN,0.88,NaN,0.16,7.17
169.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.62,3.40,1.11,NaN,8.15,NaN,NaN,0.88,NaN,0.11,7.08
170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.64,3.21,1.11,NaN,8.12,NaN,NaN,0.86,NaN,0.05,6.99
170.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.66,2.95,1.02,NaN,8.11,NaN,NaN,0.89,NaN,NaN,6.86
171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.67,2.67,0.95,NaN,8.09,NaN,NaN,0.86,NaN,NaN,6.75
171.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.70,2.41,0.89,NaN,8.11,NaN,NaN,0.75,NaN,NaN,6.60
172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.68,2.10,0.84,NaN,8.08,NaN,NaN,0.71,NaN,NaN,6.52
172.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.68,1.81,0.80,NaN,8.07,NaN,NaN,0.62,NaN,NaN,6.48
173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.76,1.56,0.79,NaN,8.04,NaN,NaN,0.54,NaN,NaN,6.40
173.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.80,1.34,0.75,NaN,8.00,NaN,NaN,0.44,NaN,NaN,6.40
174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.86,1.12,0.74,NaN,7.90,NaN,NaN,0.38,NaN,NaN,6.34
174.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.90,0.97,0.76,NaN,7.72,NaN,NaN,0.33,NaN,NaN,6.34
175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.97,0.71,0.82,NaN,7.55,NaN,NaN,0.28,NaN,NaN,6.35
175.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.01,0.46,0.88,NaN,7.41,NaN,NaN,0.23,NaN,NaN,6.38
176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.03,0.25,0.95,NaN,7.21,NaN,NaN,0.15,NaN,NaN,6.41
176.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.04,0.01,0.99,NaN,6.99,NaN,NaN,0.13,NaN,NaN,6.44
177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.05,NaN,1.06,NaN,6.75,NaN,NaN,0.10,NaN,NaN,6.44
177.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.12,NaN,1.05,NaN,6.46,NaN,NaN,0.08,NaN,NaN,6.50
178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.14,NaN,1.10,NaN,6.12,NaN,NaN,0.10,NaN,NaN,6.52
178.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.17,NaN,1.10,NaN,5.80,NaN,NaN,0.09,NaN,NaN,6.54
179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.16,NaN,1.12,NaN,5.66,NaN,NaN,0.07,NaN,NaN,6.57
179.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.22,NaN,1.15,NaN,5.41,NaN,NaN,0.09,NaN,NaN,6.57
180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.29,NaN,1.18,NaN,5.21,NaN,NaN,0.10,NaN,NaN,6.59
180.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.32,NaN,1.20,NaN,5.02,NaN,NaN,0.17,NaN,NaN,6.61
181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.40,NaN,1.22,NaN,4.83,NaN,NaN,0.25,NaN,NaN,6.66
181.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.45,NaN,1.22,NaN,4.62,NaN,NaN,0.28,NaN,NaN,6.69
182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.47,NaN,1.22,NaN,4.39,NaN,NaN,0.24,NaN,NaN,6.74
182.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.49,NaN,1.23,NaN,4.19,NaN,NaN,0.34,NaN,NaN,6.75
183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.49,NaN,1.19,NaN,3.96,NaN,NaN,0.50,NaN,NaN,6.70
183.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.52,NaN,1.21,NaN,3.76,NaN,NaN,0.58,NaN,NaN,6.68
184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.51,NaN,1.22,NaN,3.58,NaN,NaN,0.66,NaN,NaN,6.69
184.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.52,NaN,1.22,NaN,3.50,NaN,NaN,0.72,NaN,0.03,6.66
185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.50,NaN,1.26,NaN,3.31,NaN,NaN,0.75,NaN,0.02,6.67
185.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.48,NaN,1.29,NaN,3.12,NaN,NaN,0.78,NaN,NaN,6.75
186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.48,NaN,1.28,NaN,2.92,NaN,NaN,0.77,NaN,NaN,6.86
186.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.47,NaN,1.26,NaN,2.76,NaN,NaN,0.72,NaN,NaN,6.94
187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.48,NaN,1.24,NaN,2.60,NaN,NaN,0.84,NaN,NaN,7.02
187.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.47,NaN,1.24,NaN,2.43,NaN,NaN,0.83,NaN,NaN,7.05
188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.49,NaN,1.16,NaN,2.29,NaN,NaN,0.82,NaN,NaN,7.09
188.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.50,NaN,1.09,NaN,2.18,NaN,NaN,0.83,NaN,NaN,7.14
189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.49,NaN,0.99,NaN,2.11,NaN,NaN,0.87,NaN,NaN,7.17
189.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.55,NaN,0.81,NaN,1.90,NaN,NaN,0.93,NaN,NaN,7.16
