secs,&nbsp;4 17:21+1&gt;9,&nbsp;5b 17:23+1&gt;10,&nbsp;6a 17:26+1&gt;9,&nbsp;6a 17:32+2&gt;11,&nbsp;6a 17:38+2&gt;9,&nbsp;5b 17:41+1&gt;11,&nbsp;5c 17:44+1&gt;9,-6a+ 17:47+0&gt;3,-6a+ 17:48+2&gt;10,&nbsp;7a 18:24+3&gt;8,&nbsp;6a+ 18:33+2&gt;8,-6b+ 18:59+2&gt;2,&nbsp;5a 19:03+1&gt;7,&nbsp;6b+ 19:08+2&gt;8,&nbsp;6c 19:31+2&gt;5,&nbsp;6a+ 19:33+0&gt;5,&nbsp;6a+ 19:56+2&gt;9,&nbsp;5b 19:59+1&gt;7,&nbsp;6a 20:12+2&gt;8,&nbsp;6b 20:18+4&gt;10
99.5,NaN,0.21,4.57,8.68,5.56,0.42,8.92,NaN,6.95,3.90,6.17,1.23,5.98,4.41,3.87,NaN,7.34,5.85,6.11,4.94
100,NaN,0.22,4.15,8.75,5.62,0.43,8.94,NaN,6.96,3.89,6.16,1.26,5.97,4.48,3.96,NaN,7.30,5.70,6.12,4.87
100.5,NaN,0.25,3.74,8.82,5.67,0.44,8.94,NaN,6.99,3.88,6.12,1.29,5.95,4.54,4.07,NaN,7.33,5.53,6.10,4.83
101,NaN,0.30,3.53,8.84,5.71,0.46,8.90,NaN,7.00,3.88,6.08,1.32,5.92,4.60,4.10,NaN,7.33,5.44,6.09,4.82
101.5,NaN,0.30,3.11,8.87,5.81,0.48,8.84,NaN,7.01,3.86,6.07,1.37,5.92,4.66,4.13,NaN,7.35,5.33,6.08,4.81
102,NaN,0.30,2.70,8.86,5.89,0.53,8.81,NaN,7.07,3.83,6.05,1.39,5.90,4.67,4.20,NaN,7.39,5.21,6.09,4.80
102.5,NaN,0.35,2.28,8.85,6.00,0.54,8.80,NaN,7.13,3.96,6.02,1.37,5.86,4.72,4.26,NaN,7.38,5.08,6.16,4.77
103,NaN,0.33,1.86,8.87,6.12,0.59,8.80,NaN,7.14,3.92,6.01,1.41,5.83,4.76,4.26,NaN,7.39,4.90,6.22,4.77
103.5,NaN,0.34,1.47,8.92,6.25,0.60,8.84,NaN,7.23,3.91,5.92,1.45,5.84,4.76,4.28,NaN,7.37,4.68,6.23,4.80
104,NaN,0.29,1.03,8.90,6.32,0.66,8.85,NaN,7.32,3.94,5.92,1.47,5.90,4.81,4.29,NaN,7.34,4.38,6.28,4.81
104.5,NaN,NaN,0.64,8.91,6.34,0.72,8.89,NaN,7.33,4.05,5.93,1.48,5.94,4.82,4.30,NaN,7.32,4.06,6.28,4.82
105,NaN,NaN,0.28,8.90,6.35,0.79,9.01,NaN,7.32,4.14,5.92,1.48,6.00,4.85,4.36,NaN,7.34,3.76,6.29,4.82
105.5,NaN,NaN,NaN,8.87,6.33,NaN,9.09,NaN,7.35,4.25,5.91,1.56,6.03,4.87,4.38,NaN,7.36,3.60,6.32,4.83
106,NaN,NaN,NaN,8.82,6.32,NaN,9.17,NaN,7.38,4.34,5.90,1.59,6.08,4.92,4.40,NaN,7.35,3.27,6.34,4.88
106.5,NaN,NaN,NaN,8.80,6.34,NaN,9.17,NaN,7.48,4.52,5.91,1.62,6.15,4.96,4.42,NaN,7.33,2.92,6.42,5.06
107,NaN,NaN,NaN,8.79,6.37,NaN,9.16,NaN,7.54,4.55,5.89,1.64,6.30,4.94,4.51,NaN,7.36,2.56,6.55,5.22
107.5,NaN,NaN,NaN,8.79,6.46,NaN,9.01,NaN,7.61,4.58,5.85,1.65,6.46,4.99,4.58,NaN,7.36,2.19,6.66,5.33
108,NaN,NaN,NaN,8.81,6.57,NaN,8.77,NaN,7.78,4.60,5.84,1.64,6.58,4.98,4.62,NaN,7.39,1.78,6.73,5.44
