secs,&nbsp;4 15:30+1&gt;2,&nbsp;4 15:34+0&gt;2,&nbsp;4 16:02+0&gt;1,&nbsp;4 17:42+0&gt;2
161.5,1.68,NaN,NaN,NaN
162,1.65,NaN,NaN,NaN
162.5,1.62,NaN,NaN,NaN
163,1.64,NaN,NaN,NaN
163.5,1.64,NaN,NaN,NaN
164,1.61,NaN,NaN,NaN
164.5,1.61,NaN,NaN,NaN
165,1.61,NaN,NaN,NaN
165.5,1.60,NaN,NaN,NaN
166,1.63,NaN,NaN,NaN
166.5,1.61,NaN,NaN,NaN
167,1.59,NaN,NaN,NaN
167.5,1.59,NaN,NaN,NaN
168,1.70,NaN,NaN,NaN
168.5,1.69,NaN,NaN,NaN
169,1.60,NaN,NaN,NaN
169.5,1.58,NaN,NaN,NaN
170,1.54,NaN,NaN,NaN
170.5,1.51,NaN,NaN,NaN
171,1.51,NaN,NaN,NaN
171.5,1.48,NaN,NaN,NaN
172,1.46,NaN,NaN,NaN
172.5,1.51,NaN,NaN,NaN
173,1.49,NaN,NaN,NaN
173.5,1.65,NaN,NaN,NaN
174,1.69,NaN,NaN,NaN
174.5,1.72,NaN,NaN,NaN
175,1.70,NaN,NaN,NaN
175.5,1.70,NaN,NaN,NaN
176,1.69,NaN,NaN,NaN
176.5,1.71,NaN,NaN,NaN
177,1.75,NaN,NaN,NaN
177.5,1.75,NaN,NaN,NaN
178,1.69,NaN,NaN,NaN
178.5,1.83,NaN,NaN,NaN
179,1.83,NaN,NaN,NaN
179.5,1.85,NaN,NaN,NaN
180,1.91,NaN,NaN,NaN
180.5,1.95,NaN,NaN,NaN
181,1.96,NaN,NaN,NaN
181.5,1.98,NaN,NaN,NaN
182,1.96,NaN,NaN,NaN
182.5,1.97,NaN,NaN,NaN
183,1.98,NaN,NaN,NaN
183.5,1.98,NaN,NaN,NaN
184,1.99,NaN,NaN,NaN
184.5,1.94,NaN,NaN,NaN
185,1.91,NaN,NaN,NaN
185.5,1.89,NaN,NaN,NaN
186,1.87,NaN,NaN,NaN
186.5,1.80,NaN,NaN,NaN
187,1.73,NaN,NaN,NaN
187.5,1.71,NaN,NaN,NaN
188,1.69,NaN,NaN,NaN
188.5,1.67,NaN,NaN,NaN
189,1.64,NaN,NaN,NaN
189.5,1.63,NaN,NaN,NaN
190,1.61,NaN,NaN,NaN
190.5,1.58,NaN,NaN,NaN
191,1.57,NaN,NaN,NaN
191.5,1.58,NaN,NaN,NaN
