secs,4 12:28+3&gt;1,4 12:34+20&gt;2,4 14:24+65&gt;2,4 17:43+1&gt;2,9c+ 18:19+1&gt;13,9c+ 18:20+0&gt;6
514,NaN,0.01,1.41,NaN,NaN,NaN
514.5,NaN,NaN,1.42,NaN,NaN,NaN
515,NaN,NaN,1.45,NaN,NaN,NaN
515.5,NaN,NaN,1.47,NaN,NaN,NaN
516,NaN,NaN,1.48,NaN,NaN,NaN
516.5,NaN,NaN,1.50,NaN,NaN,NaN
517,NaN,NaN,1.51,NaN,NaN,NaN
517.5,NaN,NaN,1.54,NaN,NaN,NaN
518,NaN,NaN,1.51,NaN,NaN,NaN
518.5,NaN,NaN,1.50,NaN,NaN,NaN
519,NaN,NaN,1.48,NaN,NaN,NaN
519.5,NaN,NaN,1.48,NaN,NaN,NaN
520,NaN,NaN,1.45,NaN,NaN,NaN
520.5,NaN,NaN,1.43,NaN,NaN,NaN
521,NaN,NaN,1.40,NaN,NaN,NaN
521.5,NaN,NaN,1.38,NaN,NaN,NaN
522,NaN,NaN,1.35,NaN,NaN,NaN
522.5,NaN,NaN,1.31,NaN,NaN,NaN
523,NaN,NaN,1.27,NaN,NaN,NaN
523.5,NaN,NaN,1.25,NaN,NaN,NaN
524,NaN,NaN,1.20,NaN,NaN,NaN
524.5,NaN,0.00,1.17,NaN,NaN,NaN
525,NaN,0.01,1.13,NaN,NaN,NaN
525.5,NaN,0.01,1.09,NaN,NaN,NaN
526,NaN,0.01,1.07,NaN,NaN,NaN
526.5,NaN,0.03,1.04,NaN,NaN,NaN
527,NaN,0.04,0.99,NaN,NaN,NaN
527.5,NaN,0.09,0.98,NaN,NaN,NaN
528,NaN,0.12,0.97,NaN,NaN,NaN
528.5,NaN,0.14,0.91,NaN,NaN,NaN
529,NaN,0.16,0.85,NaN,NaN,NaN
529.5,NaN,0.21,0.76,NaN,NaN,NaN
530,NaN,0.27,0.74,NaN,NaN,NaN
530.5,NaN,0.35,0.70,NaN,NaN,NaN
531,NaN,0.40,0.63,NaN,NaN,NaN
531.5,NaN,0.41,0.58,NaN,NaN,NaN
532,NaN,0.42,0.55,NaN,NaN,NaN
532.5,NaN,0.44,0.54,NaN,NaN,NaN
533,NaN,0.47,0.56,NaN,NaN,NaN
533.5,NaN,0.52,0.54,NaN,NaN,NaN
534,NaN,0.54,0.62,NaN,NaN,NaN
534.5,NaN,0.59,0.75,NaN,NaN,NaN
535,NaN,0.61,0.82,NaN,NaN,NaN
535.5,NaN,0.63,0.92,NaN,NaN,NaN
536,NaN,0.67,1.02,NaN,NaN,NaN
536.5,NaN,0.69,1.13,NaN,NaN,NaN
537,NaN,0.71,1.18,NaN,NaN,NaN
537.5,NaN,0.76,1.20,NaN,NaN,NaN
538,NaN,0.81,1.27,NaN,NaN,NaN
538.5,NaN,0.87,1.29,NaN,NaN,NaN
539,NaN,0.89,1.30,NaN,NaN,NaN
539.5,NaN,0.95,1.31,NaN,NaN,NaN
540,NaN,1.00,1.30,NaN,NaN,NaN
540.5,NaN,1.03,1.27,NaN,NaN,NaN
541,NaN,1.06,1.22,NaN,NaN,NaN
541.5,NaN,1.07,1.18,NaN,NaN,NaN
542,NaN,1.06,1.12,NaN,NaN,NaN
542.5,NaN,1.03,1.09,NaN,NaN,NaN
543,NaN,1.01,1.04,NaN,NaN,NaN
543.5,NaN,0.98,0.97,NaN,NaN,NaN
544,NaN,0.97,0.91,NaN,NaN,NaN
544.5,NaN,0.91,0.89,NaN,NaN,NaN
545,NaN,0.84,0.87,NaN,NaN,NaN
545.5,NaN,0.78,0.85,NaN,NaN,NaN
546,NaN,0.75,0.84,NaN,NaN,NaN
546.5,NaN,0.73,0.87,NaN,NaN,NaN
547,NaN,0.68,0.88,NaN,NaN,NaN
547.5,NaN,0.62,0.91,NaN,NaN,NaN
548,NaN,0.55,0.93,NaN,NaN,NaN
548.5,NaN,0.51,0.94,NaN,NaN,NaN
549,NaN,0.50,0.95,NaN,NaN,NaN
549.5,NaN,0.48,0.96,NaN,NaN,NaN
550,NaN,0.50,0.97,NaN,NaN,NaN
550.5,NaN,0.51,0.97,NaN,NaN,NaN
551,NaN,0.53,0.98,NaN,NaN,NaN
551.5,NaN,0.53,0.99,NaN,NaN,NaN
552,NaN,0.55,0.99,NaN,NaN,NaN
552.5,NaN,0.57,1.02,NaN,NaN,NaN
553,NaN,0.57,1.04,NaN,NaN,NaN
553.5,NaN,0.58,1.06,NaN,NaN,NaN
554,NaN,0.58,1.06,NaN,NaN,NaN
554.5,NaN,0.59,1.07,NaN,NaN,NaN
555,NaN,0.58,1.09,NaN,NaN,NaN
555.5,NaN,0.57,1.11,NaN,NaN,NaN
556,NaN,0.59,1.15,NaN,NaN,NaN
556.5,NaN,0.60,1.17,NaN,NaN,NaN
557,NaN,0.63,1.19,NaN,NaN,NaN
557.5,NaN,0.64,1.20,NaN,NaN,NaN
558,NaN,0.68,1.24,NaN,NaN,NaN
558.5,NaN,0.69,1.28,NaN,NaN,NaN
559,NaN,0.71,1.31,NaN,NaN,NaN
559.5,NaN,0.77,1.33,NaN,NaN,NaN
560,NaN,0.80,1.38,NaN,NaN,NaN
560.5,NaN,0.81,1.41,NaN,NaN,NaN
561,NaN,0.82,1.44,NaN,NaN,NaN
561.5,NaN,0.81,1.47,NaN,NaN,NaN
562,NaN,0.78,1.49,NaN,NaN,NaN
562.5,NaN,0.73,1.52,NaN,NaN,NaN
563,NaN,0.69,1.56,NaN,NaN,NaN
563.5,NaN,0.64,1.59,NaN,NaN,NaN
564,NaN,0.61,1.62,NaN,NaN,NaN
564.5,NaN,0.53,1.63,NaN,NaN,NaN
565,NaN,0.45,1.64,NaN,NaN,NaN
565.5,NaN,0.36,1.66,NaN,NaN,NaN
566,NaN,0.30,1.66,NaN,NaN,NaN
566.5,NaN,0.27,1.64,NaN,NaN,NaN
567,NaN,0.20,1.61,NaN,NaN,NaN
567.5,NaN,0.17,1.58,NaN,NaN,NaN
568,NaN,0.14,1.54,NaN,NaN,NaN
568.5,NaN,0.14,1.51,NaN,NaN,NaN
569,NaN,0.14,1.49,NaN,NaN,NaN
569.5,NaN,0.13,1.46,NaN,NaN,NaN
570,NaN,0.14,1.44,NaN,NaN,NaN
570.5,NaN,0.15,1.41,NaN,NaN,NaN
571,NaN,0.17,1.38,NaN,NaN,NaN
571.5,NaN,0.17,1.34,NaN,NaN,NaN
572,NaN,0.20,1.32,NaN,NaN,NaN
572.5,NaN,0.19,1.29,NaN,NaN,NaN
573,NaN,0.19,1.26,NaN,NaN,NaN
573.5,NaN,0.19,1.24,NaN,NaN,NaN
574,NaN,0.19,1.21,NaN,NaN,NaN
574.5,NaN,0.22,1.19,NaN,NaN,NaN
575,NaN,0.23,1.14,NaN,NaN,NaN
575.5,NaN,0.23,1.10,NaN,NaN,NaN
576,NaN,0.24,1.07,NaN,NaN,NaN
576.5,NaN,0.24,1.08,NaN,NaN,NaN
577,NaN,0.23,1.09,NaN,NaN,NaN
577.5,NaN,0.21,1.07,NaN,NaN,NaN
578,NaN,0.21,1.02,NaN,NaN,NaN
578.5,NaN,0.18,0.96,NaN,NaN,NaN
579,NaN,0.16,0.93,NaN,NaN,NaN
579.5,NaN,0.15,0.93,NaN,NaN,NaN
580,NaN,0.13,0.91,NaN,NaN,NaN
580.5,NaN,0.11,0.92,NaN,NaN,NaN
581,NaN,0.11,0.91,NaN,NaN,NaN
581.5,NaN,0.11,0.87,NaN,NaN,NaN
582,NaN,0.10,0.85,NaN,NaN,NaN
582.5,NaN,0.08,0.78,NaN,NaN,NaN
583,NaN,0.09,0.74,NaN,NaN,NaN
583.5,NaN,0.10,0.67,NaN,NaN,NaN
584,NaN,0.12,0.61,NaN,NaN,NaN
584.5,NaN,0.16,0.61,NaN,NaN,NaN
585,NaN,0.19,0.60,NaN,NaN,NaN
585.5,NaN,0.22,0.64,NaN,NaN,NaN
586,NaN,0.25,0.69,NaN,NaN,NaN
586.5,NaN,0.26,0.76,NaN,NaN,NaN
587,NaN,0.29,0.80,NaN,NaN,NaN
587.5,NaN,0.33,0.86,NaN,NaN,NaN
588,NaN,0.36,0.91,NaN,NaN,NaN
588.5,NaN,0.38,0.99,NaN,NaN,NaN
589,NaN,0.39,1.05,NaN,NaN,NaN
589.5,NaN,0.41,1.08,NaN,NaN,NaN
590,NaN,0.41,1.13,NaN,NaN,NaN
590.5,NaN,0.43,1.16,NaN,NaN,NaN
591,NaN,0.41,1.20,NaN,NaN,NaN
591.5,NaN,0.40,1.18,NaN,NaN,NaN
592,NaN,0.38,1.17,NaN,NaN,NaN
592.5,NaN,0.40,1.17,NaN,NaN,NaN
593,NaN,0.41,1.14,NaN,NaN,NaN
593.5,NaN,0.42,1.13,NaN,NaN,NaN
594,NaN,0.40,1.12,NaN,NaN,NaN
594.5,NaN,0.40,1.12,NaN,NaN,NaN
595,NaN,0.41,1.13,NaN,NaN,NaN
595.5,NaN,0.40,1.14,NaN,NaN,NaN
596,NaN,0.40,1.18,NaN,NaN,NaN
596.5,NaN,0.42,1.22,NaN,NaN,NaN
597,NaN,0.45,1.23,NaN,NaN,NaN
597.5,NaN,0.48,1.26,NaN,NaN,NaN
598,NaN,0.52,1.30,NaN,NaN,NaN
598.5,NaN,0.54,1.33,NaN,NaN,NaN
599,NaN,0.59,1.36,NaN,NaN,NaN
599.5,NaN,0.60,1.39,NaN,NaN,NaN
600,NaN,0.61,1.43,NaN,NaN,NaN
600.5,NaN,0.61,1.49,NaN,NaN,NaN
601,NaN,0.61,1.51,NaN,NaN,NaN
601.5,NaN,0.61,1.54,NaN,NaN,NaN
602,NaN,0.63,1.55,NaN,NaN,NaN
602.5,NaN,0.63,1.58,NaN,NaN,NaN
603,NaN,0.66,1.61,NaN,NaN,NaN
603.5,NaN,0.66,1.65,NaN,NaN,NaN
604,NaN,0.70,1.67,NaN,NaN,NaN
604.5,NaN,0.73,1.69,NaN,NaN,NaN
605,NaN,0.77,1.72,NaN,NaN,NaN
605.5,NaN,0.81,1.73,NaN,NaN,NaN
606,NaN,0.82,1.73,NaN,NaN,NaN
606.5,NaN,0.84,1.75,NaN,NaN,NaN
607,NaN,0.83,1.73,NaN,NaN,NaN
607.5,NaN,0.80,1.71,NaN,NaN,NaN
608,NaN,0.78,1.69,NaN,NaN,NaN
608.5,NaN,0.77,1.69,NaN,NaN,NaN
609,NaN,0.73,1.70,NaN,NaN,NaN
609.5,NaN,0.70,1.69,NaN,NaN,NaN
610,NaN,0.66,1.69,NaN,NaN,NaN
610.5,NaN,0.61,1.69,NaN,NaN,NaN
611,NaN,0.59,1.71,NaN,NaN,NaN
611.5,NaN,0.57,1.72,NaN,NaN,NaN
612,NaN,0.53,1.77,NaN,NaN,NaN
612.5,NaN,0.50,1.80,NaN,NaN,NaN
613,NaN,0.46,1.87,NaN,NaN,NaN
613.5,NaN,0.45,1.94,NaN,NaN,NaN
614,NaN,0.45,1.96,NaN,NaN,NaN
614.5,NaN,0.45,1.97,NaN,NaN,NaN
615,NaN,0.43,1.98,NaN,NaN,NaN
615.5,NaN,0.43,1.99,NaN,NaN,NaN
616,NaN,0.43,2.00,NaN,NaN,NaN
616.5,NaN,0.44,1.99,NaN,NaN,NaN
617,NaN,0.46,1.98,NaN,NaN,NaN
617.5,NaN,0.46,1.97,NaN,NaN,NaN
618,NaN,0.50,1.94,NaN,NaN,NaN
618.5,NaN,0.52,1.94,NaN,NaN,NaN
619,NaN,0.53,1.94,NaN,NaN,NaN
619.5,NaN,0.53,1.91,NaN,NaN,NaN
620,NaN,0.54,1.86,NaN,NaN,NaN
620.5,NaN,0.56,1.80,NaN,NaN,NaN
621,NaN,0.57,1.75,NaN,NaN,NaN
621.5,NaN,0.59,1.72,NaN,NaN,NaN
622,NaN,0.62,1.63,NaN,NaN,NaN
622.5,NaN,0.63,1.56,NaN,NaN,NaN
623,NaN,0.64,1.50,NaN,NaN,NaN
623.5,NaN,0.65,1.43,NaN,NaN,NaN
624,NaN,0.68,1.41,NaN,NaN,NaN
624.5,NaN,0.69,1.34,NaN,NaN,NaN
625,NaN,0.70,1.27,NaN,NaN,NaN
625.5,NaN,0.71,1.20,NaN,NaN,NaN
626,NaN,0.69,1.10,NaN,NaN,NaN
626.5,NaN,0.69,1.05,NaN,NaN,NaN
627,NaN,0.69,0.96,NaN,NaN,NaN
627.5,NaN,0.66,0.87,NaN,NaN,NaN
628,NaN,0.64,0.79,NaN,NaN,NaN
628.5,NaN,0.61,0.70,NaN,NaN,NaN
629,NaN,0.58,0.67,NaN,NaN,NaN
629.5,NaN,0.56,0.60,NaN,NaN,NaN
630,NaN,0.55,0.52,NaN,NaN,NaN
630.5,NaN,0.53,0.44,NaN,NaN,NaN
631,NaN,0.52,0.38,NaN,NaN,NaN
631.5,NaN,0.52,0.35,NaN,NaN,NaN
632,NaN,0.51,0.33,NaN,NaN,NaN
632.5,NaN,0.53,0.33,NaN,NaN,NaN
633,NaN,0.54,0.35,NaN,NaN,NaN
633.5,NaN,0.54,0.38,NaN,NaN,NaN
634,NaN,0.53,0.39,NaN,NaN,NaN
634.5,NaN,0.51,0.41,NaN,NaN,NaN
635,NaN,0.50,0.45,NaN,NaN,NaN
635.5,NaN,0.48,0.48,NaN,NaN,NaN
636,NaN,0.47,0.51,NaN,NaN,NaN
636.5,NaN,0.45,0.51,NaN,NaN,NaN
637,NaN,0.43,0.52,NaN,NaN,NaN
637.5,NaN,0.37,0.51,NaN,NaN,NaN
638,NaN,0.36,0.49,NaN,NaN,NaN
638.5,NaN,0.38,0.48,NaN,NaN,NaN
639,NaN,0.39,0.47,NaN,NaN,NaN
639.5,NaN,0.42,0.49,NaN,NaN,NaN
640,NaN,0.45,0.52,NaN,NaN,NaN
640.5,NaN,0.45,0.52,NaN,NaN,NaN
641,NaN,0.45,0.54,NaN,NaN,NaN
641.5,NaN,0.50,0.55,NaN,NaN,NaN
642,NaN,0.55,0.56,NaN,NaN,NaN
642.5,NaN,0.57,0.62,NaN,NaN,NaN
643,NaN,0.56,0.68,NaN,NaN,NaN
643.5,NaN,0.55,0.74,NaN,NaN,NaN
644,NaN,0.51,0.76,NaN,NaN,NaN
644.5,NaN,0.48,0.81,NaN,NaN,NaN
645,NaN,0.50,0.86,NaN,NaN,NaN
645.5,NaN,0.55,0.90,NaN,NaN,NaN
646,NaN,0.56,0.91,NaN,NaN,NaN
646.5,NaN,0.61,0.91,NaN,NaN,NaN
647,NaN,0.64,0.90,NaN,NaN,NaN
647.5,NaN,0.67,0.90,NaN,NaN,NaN
648,NaN,0.71,0.91,NaN,NaN,NaN
648.5,NaN,0.71,0.91,NaN,NaN,NaN
649,NaN,0.72,0.91,NaN,NaN,NaN
649.5,NaN,0.75,0.90,NaN,NaN,NaN
650,NaN,0.77,0.88,NaN,NaN,NaN
650.5,NaN,0.80,0.86,NaN,NaN,NaN
651,NaN,0.85,0.84,NaN,NaN,NaN
651.5,NaN,0.84,0.83,NaN,NaN,NaN
652,NaN,0.80,0.81,NaN,NaN,NaN
652.5,NaN,0.79,0.80,NaN,NaN,NaN
653,NaN,0.73,0.79,NaN,NaN,NaN
653.5,NaN,0.67,0.79,NaN,NaN,NaN
654,NaN,0.59,0.79,NaN,NaN,NaN
654.5,NaN,0.53,0.78,NaN,NaN,NaN
655,NaN,0.48,0.76,NaN,NaN,NaN
655.5,NaN,0.38,0.75,NaN,NaN,NaN
656,NaN,0.30,0.72,NaN,NaN,NaN
656.5,NaN,0.23,0.72,NaN,NaN,NaN
657,NaN,0.24,0.71,NaN,NaN,NaN
657.5,NaN,0.18,0.70,NaN,NaN,NaN
658,NaN,0.11,0.71,NaN,NaN,NaN
658.5,NaN,0.04,0.74,NaN,NaN,NaN
659,NaN,NaN,0.77,NaN,NaN,NaN
659.5,NaN,NaN,0.85,NaN,NaN,NaN
660,NaN,NaN,0.91,NaN,NaN,NaN
660.5,NaN,NaN,0.95,NaN,NaN,NaN
661,NaN,NaN,0.98,NaN,NaN,NaN
661.5,NaN,NaN,1.01,NaN,NaN,NaN
662,NaN,NaN,1.05,NaN,NaN,NaN
662.5,NaN,NaN,1.09,NaN,NaN,NaN
663,NaN,0.01,1.15,NaN,NaN,NaN
663.5,NaN,0.02,1.17,NaN,NaN,NaN
664,NaN,0.05,1.21,NaN,NaN,NaN
664.5,NaN,0.08,1.28,NaN,NaN,NaN
665,NaN,0.08,1.36,NaN,NaN,NaN
665.5,NaN,0.09,1.41,NaN,NaN,NaN
666,NaN,0.10,1.44,NaN,NaN,NaN
666.5,NaN,0.08,1.49,NaN,NaN,NaN
667,NaN,0.05,1.49,NaN,NaN,NaN
667.5,NaN,0.04,1.51,NaN,NaN,NaN
668,NaN,0.01,1.55,NaN,NaN,NaN
668.5,NaN,0.01,1.55,NaN,NaN,NaN
669,NaN,0.00,1.55,NaN,NaN,NaN
669.5,NaN,NaN,1.58,NaN,NaN,NaN
670,NaN,NaN,1.61,NaN,NaN,NaN
670.5,NaN,NaN,1.64,NaN,NaN,NaN
671,NaN,NaN,1.65,NaN,NaN,NaN
671.5,NaN,NaN,1.68,NaN,NaN,NaN
672,NaN,NaN,1.70,NaN,NaN,NaN
672.5,NaN,NaN,1.73,NaN,NaN,NaN
673,NaN,NaN,1.73,NaN,NaN,NaN
673.5,NaN,NaN,1.72,NaN,NaN,NaN
674,NaN,NaN,1.67,NaN,NaN,NaN
674.5,NaN,NaN,1.61,NaN,NaN,NaN
675,NaN,NaN,1.52,NaN,NaN,NaN
675.5,NaN,NaN,1.43,NaN,NaN,NaN
676,NaN,NaN,1.38,NaN,NaN,NaN
676.5,NaN,NaN,1.31,NaN,NaN,NaN
677,NaN,NaN,1.21,NaN,NaN,NaN
677.5,NaN,NaN,1.09,NaN,NaN,NaN
678,NaN,NaN,0.99,NaN,NaN,NaN
678.5,NaN,NaN,0.94,NaN,NaN,NaN
679,NaN,NaN,0.80,NaN,NaN,NaN
679.5,NaN,NaN,0.67,NaN,NaN,NaN
680,NaN,0.06,0.59,NaN,NaN,NaN
680.5,NaN,0.18,0.54,NaN,NaN,NaN
681,NaN,0.21,0.51,NaN,NaN,NaN
681.5,NaN,0.29,0.47,NaN,NaN,NaN
682,NaN,0.34,0.48,NaN,NaN,NaN
682.5,NaN,0.38,0.50,NaN,NaN,NaN
683,NaN,0.44,0.55,NaN,NaN,NaN
683.5,NaN,0.44,0.57,NaN,NaN,NaN
684,NaN,0.46,0.63,NaN,NaN,NaN
684.5,NaN,0.49,0.69,NaN,NaN,NaN
685,NaN,0.53,0.77,NaN,NaN,NaN
685.5,NaN,0.54,0.81,NaN,NaN,NaN
686,NaN,0.56,0.83,NaN,NaN,NaN
686.5,NaN,0.58,0.87,NaN,NaN,NaN
687,NaN,0.58,0.91,NaN,NaN,NaN
687.5,NaN,0.62,0.94,NaN,NaN,NaN
688,NaN,0.64,0.97,NaN,NaN,NaN
688.5,NaN,0.67,0.99,NaN,NaN,NaN
689,NaN,0.76,1.02,NaN,NaN,NaN
689.5,NaN,0.79,1.06,NaN,NaN,NaN
690,NaN,0.80,1.08,NaN,NaN,NaN
690.5,NaN,0.81,1.07,NaN,NaN,NaN
691,NaN,0.81,1.06,NaN,NaN,NaN
691.5,NaN,0.79,1.07,NaN,NaN,NaN
692,NaN,0.79,1.06,NaN,NaN,NaN
692.5,NaN,0.78,1.06,NaN,NaN,NaN
693,NaN,0.79,1.07,NaN,NaN,NaN
693.5,NaN,0.77,1.06,NaN,NaN,NaN
694,NaN,0.77,1.05,NaN,NaN,NaN
694.5,NaN,0.74,1.02,NaN,NaN,NaN
695,NaN,0.75,0.97,NaN,NaN,NaN
695.5,NaN,0.79,0.93,NaN,NaN,NaN
696,NaN,0.82,0.91,NaN,NaN,NaN
696.5,NaN,0.88,0.87,NaN,NaN,NaN
697,NaN,0.89,0.82,NaN,NaN,NaN
697.5,NaN,0.87,0.78,NaN,NaN,NaN
698,NaN,0.87,0.76,NaN,NaN,NaN
698.5,NaN,0.87,0.77,NaN,NaN,NaN
699,NaN,0.83,0.77,NaN,NaN,NaN
699.5,NaN,0.79,0.80,NaN,NaN,NaN
700,NaN,0.75,0.85,NaN,NaN,NaN
700.5,NaN,0.70,0.88,NaN,NaN,NaN
701,NaN,0.66,0.90,NaN,NaN,NaN
701.5,NaN,0.60,0.93,NaN,NaN,NaN
702,NaN,0.56,0.92,NaN,NaN,NaN
702.5,NaN,0.55,0.93,NaN,NaN,NaN
703,NaN,0.53,0.97,NaN,NaN,NaN
703.5,NaN,0.52,0.99,NaN,NaN,NaN
704,NaN,0.49,1.07,NaN,NaN,NaN
704.5,NaN,0.46,1.15,NaN,NaN,NaN
705,NaN,0.42,1.24,NaN,NaN,NaN
705.5,NaN,0.39,1.37,NaN,NaN,NaN
706,NaN,0.37,1.42,NaN,NaN,NaN
706.5,NaN,0.38,1.50,NaN,NaN,NaN
707,NaN,0.42,1.58,NaN,NaN,NaN
707.5,NaN,0.44,1.58,NaN,NaN,NaN
708,NaN,0.49,1.62,NaN,NaN,NaN
708.5,NaN,0.51,1.71,NaN,NaN,NaN
709,NaN,0.51,1.78,NaN,NaN,NaN
709.5,NaN,0.51,1.88,NaN,NaN,NaN
710,NaN,0.53,1.95,NaN,NaN,NaN
710.5,NaN,0.56,2.03,NaN,NaN,NaN
711,NaN,0.58,2.08,NaN,NaN,NaN
711.5,NaN,0.59,2.12,NaN,NaN,NaN
712,NaN,0.61,2.09,NaN,NaN,NaN
712.5,NaN,0.62,2.08,NaN,NaN,NaN
713,NaN,0.61,2.08,NaN,NaN,NaN
713.5,NaN,0.61,2.07,NaN,NaN,NaN
714,NaN,0.61,2.04,NaN,NaN,NaN
714.5,NaN,0.59,2.03,NaN,NaN,NaN
715,NaN,0.57,1.98,NaN,NaN,NaN
715.5,NaN,0.55,1.92,NaN,NaN,NaN
716,NaN,0.54,1.87,NaN,NaN,NaN
716.5,NaN,0.50,1.88,NaN,NaN,NaN
717,NaN,0.42,1.88,NaN,NaN,NaN
717.5,NaN,0.39,1.89,NaN,NaN,NaN
718,NaN,0.36,1.91,NaN,NaN,NaN
718.5,NaN,0.36,1.90,NaN,NaN,NaN
719,NaN,0.34,1.90,NaN,NaN,NaN
719.5,NaN,0.33,1.90,NaN,NaN,NaN
720,NaN,0.31,1.88,NaN,NaN,NaN
720.5,NaN,0.30,1.85,NaN,NaN,NaN
721,NaN,0.31,1.83,NaN,NaN,NaN
721.5,NaN,0.30,1.81,NaN,NaN,NaN
722,NaN,0.29,1.78,NaN,NaN,NaN
722.5,NaN,0.29,1.76,NaN,NaN,NaN
723,NaN,0.28,1.74,NaN,NaN,NaN
723.5,NaN,0.29,1.71,NaN,NaN,NaN
724,NaN,0.28,1.69,NaN,NaN,NaN
724.5,NaN,0.26,1.67,NaN,NaN,NaN
725,NaN,0.24,1.63,NaN,NaN,NaN
725.5,NaN,0.24,1.62,NaN,NaN,NaN
726,NaN,0.21,1.61,NaN,NaN,NaN
726.5,NaN,0.18,1.58,NaN,NaN,NaN
727,NaN,0.14,1.54,NaN,NaN,NaN
727.5,NaN,0.11,1.49,NaN,NaN,NaN
728,NaN,0.08,1.44,NaN,NaN,NaN
728.5,NaN,0.06,1.39,NaN,NaN,NaN
729,NaN,0.05,1.36,NaN,NaN,NaN
729.5,NaN,0.08,1.33,NaN,NaN,NaN
730,NaN,0.10,1.29,NaN,NaN,NaN
730.5,NaN,0.10,1.25,NaN,NaN,NaN
731,NaN,0.09,1.20,NaN,NaN,NaN
731.5,NaN,0.11,1.14,NaN,NaN,NaN
732,NaN,0.14,1.14,NaN,NaN,NaN
732.5,NaN,0.18,1.07,NaN,NaN,NaN
733,NaN,0.17,1.03,NaN,NaN,NaN
733.5,NaN,0.17,0.98,NaN,NaN,NaN
734,NaN,0.17,0.93,NaN,NaN,NaN
734.5,NaN,0.13,0.92,NaN,NaN,NaN
735,NaN,0.10,0.89,NaN,NaN,NaN
735.5,NaN,0.10,0.86,NaN,NaN,NaN
736,NaN,0.05,0.83,NaN,NaN,NaN
736.5,NaN,0.01,0.80,NaN,NaN,NaN
737,NaN,NaN,0.78,NaN,NaN,NaN
737.5,NaN,NaN,0.75,NaN,NaN,NaN
738,NaN,NaN,0.71,NaN,NaN,NaN
738.5,NaN,NaN,0.68,NaN,NaN,NaN
739,NaN,NaN,0.68,NaN,NaN,NaN
739.5,NaN,NaN,0.68,NaN,NaN,NaN
740,NaN,NaN,0.69,NaN,NaN,NaN
740.5,NaN,NaN,0.72,NaN,NaN,NaN
741,NaN,NaN,0.76,NaN,NaN,NaN
741.5,NaN,NaN,0.81,NaN,NaN,NaN
742,NaN,NaN,0.83,NaN,NaN,NaN
742.5,NaN,NaN,0.86,NaN,NaN,NaN
743,NaN,NaN,0.91,NaN,NaN,NaN
743.5,NaN,NaN,0.94,NaN,NaN,NaN
744,NaN,NaN,0.95,NaN,NaN,NaN
744.5,NaN,NaN,0.96,NaN,NaN,NaN
745,NaN,NaN,0.99,NaN,NaN,NaN
745.5,NaN,NaN,1.01,NaN,NaN,NaN
746,NaN,NaN,1.07,NaN,NaN,NaN
746.5,NaN,NaN,1.10,NaN,NaN,NaN
747,NaN,NaN,1.12,NaN,NaN,NaN
747.5,NaN,NaN,1.18,NaN,NaN,NaN
748,NaN,NaN,1.24,NaN,NaN,NaN
748.5,NaN,NaN,1.30,NaN,NaN,NaN
749,NaN,NaN,1.37,NaN,NaN,NaN
749.5,NaN,NaN,1.41,NaN,NaN,NaN
750,NaN,NaN,1.52,NaN,NaN,NaN
750.5,NaN,NaN,1.58,NaN,NaN,NaN
751,NaN,NaN,1.63,NaN,NaN,NaN
751.5,NaN,NaN,1.63,NaN,NaN,NaN
752,NaN,NaN,1.66,NaN,NaN,NaN
752.5,NaN,NaN,1.65,NaN,NaN,NaN
753,NaN,NaN,1.64,NaN,NaN,NaN
753.5,NaN,NaN,1.65,NaN,NaN,NaN
754,NaN,NaN,1.66,NaN,NaN,NaN
754.5,NaN,NaN,1.66,NaN,NaN,NaN
755,NaN,NaN,1.66,NaN,NaN,NaN
755.5,NaN,NaN,1.68,NaN,NaN,NaN
756,NaN,NaN,1.69,NaN,NaN,NaN
756.5,NaN,NaN,1.68,NaN,NaN,NaN
757,NaN,NaN,1.68,NaN,NaN,NaN
757.5,NaN,NaN,1.67,NaN,NaN,NaN
758,NaN,NaN,1.66,NaN,NaN,NaN
758.5,NaN,NaN,1.66,NaN,NaN,NaN
759,NaN,NaN,1.64,NaN,NaN,NaN
759.5,NaN,NaN,1.63,NaN,NaN,NaN
760,NaN,0.03,1.61,NaN,NaN,NaN
760.5,NaN,0.07,1.59,NaN,NaN,NaN
761,NaN,0.20,1.55,NaN,NaN,NaN
761.5,NaN,0.28,1.51,NaN,NaN,NaN
762,NaN,0.38,1.48,NaN,NaN,NaN
762.5,NaN,0.45,1.44,NaN,NaN,NaN
763,NaN,0.48,1.40,NaN,NaN,NaN
763.5,NaN,0.53,1.39,NaN,NaN,NaN
764,NaN,0.58,1.31,NaN,NaN,NaN
764.5,NaN,0.60,1.29,NaN,NaN,NaN
765,NaN,0.66,1.24,NaN,NaN,NaN
765.5,NaN,0.69,1.22,NaN,NaN,NaN
766,NaN,0.76,1.19,NaN,NaN,NaN
766.5,NaN,0.82,1.14,NaN,NaN,NaN
767,NaN,0.86,1.11,NaN,NaN,NaN
767.5,NaN,0.88,1.02,NaN,NaN,NaN
768,NaN,0.91,0.93,NaN,NaN,NaN
768.5,NaN,0.91,0.85,NaN,NaN,NaN
769,NaN,0.91,0.81,NaN,NaN,NaN
769.5,NaN,0.94,0.74,NaN,NaN,NaN
770,NaN,0.96,0.70,NaN,NaN,NaN
770.5,NaN,0.95,0.65,NaN,NaN,NaN
771,NaN,0.94,0.59,NaN,NaN,NaN
